id,group,year,title,venue_or_source,method_or_topic,relationship_to_ghana_cocoa_fts,duplicate_risk,source_link,study_decision
L01,FTS method foundation,1993,Fuzzy time series and its models,Fuzzy Sets and Systems,Original fuzzy time-series framework,Defines the general method family but not cocoa Ghana yield or volatility evaluation,Low,https://doi.org/10.1016/0165-0114(93)90372-o,Cite as foundation
L02,FTS method foundation,1994,Forecasting enrollments with fuzzy time series - part II,Fuzzy Sets and Systems,Early FTS forecasting application,Method precedent only; not agriculture or cocoa,Low,https://doi.org/10.1016/0165-0114(94)90067-1,Cite as foundation
L03,FTS method foundation,1996,Forecasting enrollments based on fuzzy time series,Fuzzy Sets and Systems,Classical Chen FTS,This is the baseline method to implement and compare; not a Ghana cocoa study,Low,https://doi.org/10.1016/0165-0114(95)00220-0,Cite and implement as baseline
L04,FTS interval design,2001,Effective lengths of intervals to improve forecasting in fuzzy time series,Fuzzy Sets and Systems,Interval length selection,Supports the interval-sensitivity question; not a cocoa study,Low,https://doi.org/10.1016/s0165-0114(00)00057-9,Cite for interval design
L05,FTS order design,2002,Forecasting enrollments based on high-order fuzzy time series,Cybernetics and Systems,High-order FTS,Supports order-2/order-3 experiment; not agriculture or cocoa,Low,https://doi.org/10.1080/019697202753306479,Cite for high-order rules
L06,FTS rule weighting,2004,Weighted fuzzy time series models for TAIEX forecasting,Physica A,Weighted fuzzy time-series forecasting,Supports frequency-weighted consequents; not agriculture or cocoa,Low,https://doi.org/10.1016/j.physa.2004.11.006,Cite for weighted defuzzification option
L07,FTS model variant,2006,Fuzzy time-series based on adaptive expectation model for TAIEX forecasting,Expert Systems with Applications,Adaptive expectation FTS,Shows adaptive FTS variants exist; not Ghana cocoa yield,Low,https://doi.org/10.1016/j.eswa.2006.12.021,Cite selectively if adaptive FTS background is needed
L08,FTS interval design,2006,Ratio-based lengths of intervals to improve fuzzy time series forecasting,IEEE Transactions on Systems Man and Cybernetics Part B,Ratio-based interval lengths,Relevant to interval construction literature; not cocoa,Low,https://doi.org/10.1109/tsmcb.2005.857093,Cite for interval sensitivity
L09,FTS order design,2009,A computational method of forecasting based on high-order fuzzy time series,Expert Systems with Applications,High-order FTS computation,Relevant to high-order rule design; not cocoa,Low,https://doi.org/10.1016/j.eswa.2009.02.061,Cite for high-order background
L10,FTS survey,2019,Designing fuzzy time series forecasting models: A survey,International Journal of Approximate Reasoning,FTS model design survey,Useful for positioning interval partitioning and rule design as known FTS design choices,Low,https://doi.org/10.1016/j.ijar.2019.05.002,Cite in related work
L11,FTS partition design,2021,A Novel Stochastic Fuzzy Time Series Forecasting Model Based on a New Partition Method,IEEE Access,Partitioning method,Shows active work on partition methods; not cocoa Ghana yield,Low,https://doi.org/10.1109/access.2021.3084048,Cite only if partition-method discussion is expanded
L12,FTS clustering and weighting,2020,A new fuzzy time series forecasting method based on clustering and weighted average approach,Journal of Intelligent and Fuzzy Systems,Clustering and weighted average FTS,Nearby method variant; not cocoa Ghana yield,Low,https://doi.org/10.3233/jifs-179693,Cite only if weighted or clustering variants are discussed
L13,Agricultural FTS,2013,Fuzzy time series model to forecast rice production,FUZZ-IEEE,Rice production FTS,Shows crop-production FTS exists; commodity and target differ from Ghana cocoa yield,Medium,https://doi.org/10.1109/fuzz-ieee.2013.6622509,Cite as agriculture FTS precedent
L14,Agricultural FTS,2017,A Computational Method for Rice Production Forecasting Based on High-Order Fuzzy Time Series,International Journal of Fuzzy Mathematical Archive,Rice production high-order FTS,Close by method and agriculture but not cocoa Ghana yield,Medium,https://doi.org/10.22457/ijfma.v13n2a5,Cite as agriculture high-order FTS precedent
L15,Agricultural FTS,2020,Forecasting models of agricultural process based on fuzzy time series,IOP Conference Series Materials Science and Engineering,Agricultural process FTS,Relevant broad agricultural FTS precedent; not cocoa Ghana yield,Medium,https://doi.org/10.1088/1757-899x/986/1/012013,Cite as agricultural FTS precedent
L16,Agricultural FTS,2021,Measurement of Detection Rate Accuracy in Forecasting Crude Palm Oil Production using Fuzzy Time Series,Conference proceeding,Crude palm oil production FTS,Another commodity-production FTS study; target differs from cocoa yield,Medium,https://doi.org/10.1109/icitech50181.2021.9590172,Cite only if discussing plantation-crop forecasting
L17,Crop-yield prediction review,2021,A Comprehensive Review of Crop Yield Prediction Using Machine Learning Approaches With Special Emphasis on Palm Oil Yield Prediction,IEEE Access,Crop yield prediction review,Useful to show yield prediction literature is broader than FTS,Low,https://doi.org/10.1109/access.2021.3075159,Cite for broader crop-yield context
L18,Ghana cocoa yield domain,2013,An Analysis of Yield Gap and Some Factors of Cocoa (Theobroma cacao) Yields in Ghana,Sustainable Agriculture Research,Ghana cocoa yield gap analysis,Same country and yield domain but not time-series forecasting or FTS,Medium,https://doi.org/10.5539/sar.v2n4p117,Cite for Ghana cocoa yield context
L19,Cocoa yield domain,2018,Forecasting cocoa yields for 2050,CGSpace repository,Cocoa yield forecasting,Same commodity and yield language but appears long-horizon scenario/domain work rather than Chen/adaptive/high-order FTS,Medium,https://openalex.org/W2808134372,Cite cautiously after manual full-text review
L20,Cocoa forecasting,2020,Forecasting cocoa production of six major producers through ARIMA and grey models,Grey Systems: Theory and Application,ARIMA and grey forecasting for cocoa production,Closest forecasting competitor; uses production and ARIMA/grey, not Ghana-only yield FTS,High,https://doi.org/10.1108/gs-04-2020-0050,Cite as closest non-fuzzy cocoa forecasting study
L21,Cocoa FTS neighboring work,2023,Python script fuzzy time series Markov chain model for forecasting the number of diseases cocoa plant in Bendungan district,International Journal of Data and Network Science,FTS Markov chain for cocoa plant disease counts,Closest cocoa plus FTS hit; disease-count case in Indonesia, not Ghana cocoa yield,High,https://doi.org/10.5267/j.ijdns.2023.3.009,Cite as nearest cocoa-specific FTS neighbor
L22,Cocoa fuzzy decision support,2014,Multi-Criteria Methodology: AHP and Fuzzy Logic in the Selection of Post-Harvest Technology for Smallholder Cocoa Production,AgEcon Search,Fuzzy AHP for cocoa post-harvest technology,Cocoa plus fuzzy logic but not FTS forecasting,Low,https://doi.org/10.22004/ag.econ.167907,Cite only if showing fuzzy methods in cocoa domain
L23,Cocoa modelling review,2023,Simulating cocoa production: A review of modelling approaches and gaps,Agricultural Systems,Cocoa production modelling review,Important domain review; not FTS and not Ghana-only yield forecasting,Medium,https://doi.org/10.1016/j.agsy.2023.103614,Cite for cocoa modelling gap context
L24,Cocoa sector review,2024,Cocoa production in the 2020s: challenges and solutions,CABI Agriculture and Bioscience,Cocoa production challenges,Domain context for volatility and production pressures; not forecasting method,Low,https://doi.org/10.1186/s43170-024-00310-6,Cite for current cocoa-sector context
L25,Ghana cocoa geospatial context,2023,Integrating GIS and remote sensing for land use/land cover mapping and groundwater potential assessment for climate-smart cocoa irrigation in Ghana,Scientific Reports,Ghana cocoa geospatial analysis,Same country/commodity context but different target and method,Low,https://doi.org/10.1038/s41598-023-43286-5,Cite only if discussing Ghana cocoa environmental context
L26,Forecast evaluation,2006,Another look at measures of forecast accuracy,International Journal of Forecasting,Forecast accuracy metrics,Supports MASE and careful metric choice,Low,https://doi.org/10.1016/j.ijforecast.2006.03.001,Cite for MAE/RMSE/MASE discussion
L27,Forecast validation,2017,A note on the validity of cross-validation for evaluating autoregressive time series prediction,Computational Statistics and Data Analysis,Time-series validation,Supports time-aware validation instead of random split,Low,https://doi.org/10.1016/j.csda.2017.11.003,Cite for validation design
L28,Forecast evaluation,2022,Forecast evaluation for data scientists: common pitfalls and best practices,Data Mining and Knowledge Discovery,Forecast-evaluation pitfalls,Supports rigorous rolling-origin evaluation and leakage avoidance,Low,https://doi.org/10.1007/s10618-022-00894-5,Cite for evaluation pitfalls
